DATE,IPN31152N
2010-01-01,91.2895
2010-02-01,110.4994
2010-03-01,127.0971
2010-04-01,132.6468
2010-05-01,134.5576
2010-06-01,143.9519
2010-07-01,128.8566
2010-08-01,125.5563
2010-09-01,116.0686
2010-10-01,97.7520
2010-11-01,81.0871
2010-12-01,72.7801
2011-01-01,92.6110
2011-02-01,106.1656
2011-03-01,114.2484
2011-04-01,116.6234
2011-05-01,116.1365
2011-06-01,120.7737
2011-07-01,116.2615
2011-08-01,115.0031
2011-09-01,101.7561
2011-10-01,91.1014
2011-11-01,76.5099
2011-12-01,71.4595
2012-01-01,85.3987
2012-02-01,99.5615
2012-03-01,112.4868
2012-04-01,114.8111
2012-05-01,114.5660
2012-06-01,124.3428
2012-07-01,112.3270
2012-08-01,107.6430
2012-09-01,96.3700
2012-10-01,88.8864
2012-11-01,74.8375
2012-12-01,68.7691
2013-01-01,78.1175
2013-02-01,98.0341
2013-03-01,107.8837
2013-04-01,107.9098
2013-05-01,110.9130
2013-06-01,128.6909
2013-07-01,112.3692
2013-08-01,106.0546
2013-09-01,98.1912
2013-10-01,90.9982
2013-11-01,80.0694
2013-12-01,67.8031
2014-01-01,86.3975
2014-02-01,101.7308
2014-03-01,113.7756
2014-04-01,119.3533
2014-05-01,116.6308
2014-06-01,131.0397
2014-07-01,117.2721
2014-08-01,111.4180
2014-09-01,100.6174
2014-10-01,91.2615
2014-11-01,86.5723
2014-12-01,75.3749
2015-01-01,85.5769
2015-02-01,100.5580
2015-03-01,109.5789
2015-04-01,108.3617
2015-05-01,106.0577
2015-06-01,116.1377
2015-07-01,108.3776
2015-08-01,112.2052
2015-09-01,100.3483
2015-10-01,93.9317
2015-11-01,85.8640
2015-12-01,76.9749
2016-01-01,92.8105
2016-02-01,101.9743
2016-03-01,116.1793
2016-04-01,124.2106
2016-05-01,121.5435
2016-06-01,132.9865
2016-07-01,124.8514
2016-08-01,121.3321
2016-09-01,108.0359
2016-10-01,101.3836
2016-11-01,86.6647
2016-12-01,81.2569
2017-01-01,94.2454
2017-02-01,112.3879
2017-03-01,119.6982
2017-04-01,123.2282
2017-05-01,116.0635
2017-06-01,123.0870
2017-07-01,116.2639
2017-08-01,113.1717
2017-09-01,97.9125
2017-10-01,90.4732
2017-11-01,77.4378
2017-12-01,75.8118
2018-01-01,83.4343
2018-02-01,99.4899
2018-03-01,107.3152
2018-04-01,112.4309
2018-05-01,110.3544
2018-06-01,124.5841
2018-07-01,117.2215
2018-08-01,112.6779
2018-09-01,103.3118
2018-10-01,92.1321
2018-11-01,82.4347
2018-12-01,76.7608
2019-01-01,86.9988
2019-02-01,98.1116
2019-03-01,116.1718
2019-04-01,114.9703
2019-05-01,114.5613
2019-06-01,124.9605
2019-07-01,110.2632
2019-08-01,102.6085
2019-09-01,100.1741
2019-10-01,90.1684
2019-11-01,79.7223
2019-12-01,75.7094
2020-01-01,83.6290
